Transaction_ID,Date,Customer_Type,Crop_Type,Harvest_Season,Moisture_Content_%,DM_Content_%,Quantity_MT,Price_per_MT_INR,Total_Sales_INR,Logistics_Cost_INR,Profit_Margin_%,Payment_Mode,Credit_Period_Days,Bagging_Type
TXN2022-002076,07-03-2022,Co-operative,Maize,Summer,67.6,35.9,4.26,7173,33394.14,1914.04,14.46,UPI,0,Bale-50kg
TXN2022-003964,09-03-2022,Co-operative,Maize,Summer,62.6,37.4,5.57,7084,45802.11,3031.71,16.28,UPI,0,Bags
TXN2022-000273,11-03-2022,Individual Farmer,Bajra,Summer,68.5,31.5,9.73,7265,75728.59,2957.8,11.47,Bank Transfer,0,Bale-50kg
TXN2022-003103,21-03-2022,Co-operative,Maize,Summer,64,36,8.71,7215,67720.25,3436.48,12.81,Cash,0,Bags
TXN2022-002060,22-03-2022,Co-operative,Bajra,Summer,67.4,32.6,17.32,7658,134940.12,4036.51,13.91,Bank Transfer,0,Bale-50kg
TXN2022-001630,25-03-2022,Co-operative,Maize,Summer,65,33.3,29.83,7245,197504.43,4172.24,16.07,Bank Transfer,0,Bale-50kg
TXN2022-004541,29-03-2022,Individual Farmer,Maize,Summer,65,41.4,13.95,7305,83797.65,1899.58,14.04,UPI,0,Bale-50kg
TXN2022-004795,30-03-2022,Individual Farmer,Maize,Summer,63.7,37.5,8.45,7416,61811.75,1960.58,15.28,Bank Transfer,0,Bale-50kg
TXN2022-004819,31-03-2022,Dairy Farm,Maize,Summer,63.7,32.4,10.52,6939,74828.76,3463.43,14.37,UPI,0,Bulk
TXN2022-000901,31-03-2022,Distributor,Jowar,Summer,62.6,37.4,6.55,8671,55275.45,2026.62,9.75,Bank Transfer,0,Bags
TXN2022-004243,03-04-2022,Distributor,Maize,Summer,65,29.1,8.33,7354,59476.2,1767.61,6,Credit,21,Bale-25kg
TXN2022-000171,03-04-2022,Dairy Farm,Jowar,Summer,62.7,37.3,6.23,8605,46021.01,4179.32,14.71,Bank Transfer,0,Bale-50kg
TXN2022-004831,04-04-2022,Dairy Farm,Jowar,Summer,63.5,36.5,11.41,8447,83817.86,3736.55,12.4,Credit,30,Bags
TXN2022-003398,04-04-2022,Distributor,Hybrid Mix,Summer,65.7,34.3,9.66,6842,73435.32,2008.52,13.42,Cash,0,Bulk
TXN2022-002117,05-04-2022,Distributor,Jowar,Summer,71.4,28.6,5.38,7880,41022.5,3833.98,13.26,UPI,0,Bags
TXN2022-003697,06-04-2022,Dairy Farm,Bajra,Summer,65.6,34.4,10.57,7441,71527.19,2694.42,7.26,Credit,21,Bulk
TXN2022-001626,07-04-2022,Dairy Farm,Maize,Summer,65,31.9,7.43,7210,43725.55,1754.14,9.6,Bank Transfer,0,Bags
TXN2022-005314,11-04-2022,Individual Farmer,Maize,Summer,67.6,31.8,16.97,7278,122947.65,2971.71,10.84,UPI,0,Bulk
TXN2022-002665,16-04-2022,Distributor,Maize,Summer,64.9,32.5,3.89,7286,31481.77,3256.03,13.71,UPI,0,Bale-50kg
TXN2022-000645,17-04-2022,Individual Farmer,Bajra,Summer,67.6,33.1,7.57,7933,61294.29,2665.95,18,Bank Transfer,0,Bale-50kg
TXN2022-000237,19-04-2022,Distributor,Bajra,Summer,68.6,31.4,23.48,7228,154240.12,3707.73,12.51,UPI,0,Bulk
TXN2022-005166,23-04-2022,Dairy Farm,Jowar,Summer,66.1,33.9,10.2,8236,70227,3995.41,18.94,Bank Transfer,0,Bulk
TXN2022-003639,26-04-2022,Individual Farmer,Bajra,Summer,62.7,37.3,6.41,7866,49856.98,3379.38,19.65,UPI,0,Bale-50kg
TXN2022-002267,29-04-2022,Dairy Farm,Hybrid Mix,Summer,67.6,37.3,7.22,6712,44424.66,3045.91,14.92,Credit,21,Bulk
TXN2022-004438,30-04-2022,Individual Farmer,Jowar,Summer,65,35,8.48,8914,67560.16,1850.95,14.71,Credit,14,Bale-50kg
TXN2022-002891,02-05-2022,Co-operative,Maize,Summer,64.9,36.9,8.57,7212,67822.98,3953.16,12.85,UPI,0,Bale-50kg
TXN2022-000953,03-05-2022,Dairy Farm,Bajra,Summer,64.4,35.6,9.16,7798,69909.12,4365.2,13.72,Credit,7,Bale-50kg
TXN2022-005287,04-05-2022,Dairy Farm,Jowar,Summer,62.5,37.5,16.19,8709,113346.19,2421.77,17.48,UPI,0,Bale-50kg
TXN2022-002749,04-05-2022,Individual Farmer,Maize,Summer,66,35.6,4.77,7620,31706.19,2793.66,7.35,Credit,30,Bale-25kg
TXN2022-001621,04-05-2022,Dairy Farm,Maize,Summer,65,33.7,3.83,7260,24033.25,2551.23,15.44,Bank Transfer,0,Bulk
TXN2022-001457,05-05-2022,Individual Farmer,Maize,Summer,62,38,6.27,6493,37162.29,3994.81,17.84,UPI,0,Bulk
TXN2022-000573,10-05-2022,Individual Farmer,Bajra,Summer,68.5,31.5,9.75,7267,79755,2299.29,11.53,Bank Transfer,0,Bale-50kg
TXN2022-004903,10-05-2022,Individual Farmer,Hybrid Mix,Summer,65.4,34.6,7.24,6922,41774.8,4271.04,15.02,UPI,0,Bale-50kg
TXN2022-002491,11-05-2022,Co-operative,Bajra,Summer,63,37,16.04,7614,98228.96,4235.44,10.72,Credit,7,Bags
TXN2022-000699,13-05-2022,Individual Farmer,Jowar,Summer,69.8,30.2,11.53,7750,78127.28,4180.44,15.23,Credit,30,Bulk
TXN2022-005279,13-05-2022,Co-operative,Maize,Summer,67.6,39,7.55,7192,52495.15,3996.18,14.02,Credit,14,Bale-50kg
TXN2022-002883,14-05-2022,Individual Farmer,Hybrid Mix,Summer,67.6,31.1,11.53,6686,77054.99,4594.06,12.09,Bank Transfer,0,Bulk
TXN2022-001227,14-05-2022,Dairy Farm,Maize,Summer,65,30.5,6.1,7125,46012.3,3620.53,16.53,Cash,0,Bags
TXN2022-005480,15-05-2022,Individual Farmer,Jowar,Summer,63.3,36.7,13.39,8672,116198.42,3322.11,12.56,Credit,21,Bags
TXN2022-002233,17-05-2022,Dairy Farm,Jowar,Summer,64.9,35.1,20.41,8765,139339.07,2743.22,14.67,Bank Transfer,0,Bale-50kg
TXN2022-003399,19-05-2022,Dairy Farm,Maize,Summer,64.9,33.8,5.46,7178,41654.34,3499.6,13.59,Credit,7,Bags
TXN2022-002853,20-05-2022,Distributor,Maize,Summer,61.6,38.4,17.66,6592,120935.68,5650.55,9.97,Credit,7,Bags
TXN2022-000741,21-05-2022,Co-operative,Jowar,Summer,63.5,36.5,6.27,8679,44422.95,2922.96,13.86,UPI,0,Bale-50kg
TXN2022-000952,22-05-2022,Individual Farmer,Hybrid Mix,Summer,69.1,30.9,9.51,6245,56917.35,2414.86,15.12,UPI,0,Bulk
TXN2022-005269,24-05-2022,Dairy Farm,Jowar,Summer,69.7,30.3,25.32,7817,205978.2,2838.41,9.9,UPI,0,Bale-50kg
TXN2022-002171,25-05-2022,Distributor,Hybrid Mix,Summer,65,33.6,12.68,6738,83649.96,4025.71,12.24,Cash,0,Bale-50kg
TXN2022-003295,27-05-2022,Dairy Farm,Jowar,Summer,67.7,32.3,16.2,8524,122763.6,4994.51,13.5,Credit,14,Bulk
TXN2022-004105,27-05-2022,Dairy Farm,Maize,Summer,62.5,37.5,8.34,7148,68596.5,3802.22,17.85,Bank Transfer,0,Bags
TXN2022-005430,29-05-2022,Co-operative,Maize,Summer,65,33,20.01,7315,140190.06,2990.47,11.44,Cash,0,Bags
TXN2022-001657,30-05-2022,Dairy Farm,Hybrid Mix,Summer,67.6,36.4,6.64,6569,46918.24,3943.06,11.27,Credit,30,Bulk
TXN2022-003707,31-05-2022,Individual Farmer,Maize,Summer,65.6,34.4,28.8,7386,192182.4,5726.34,14.2,Credit,14,Bale-50kg
TXN2022-001140,01-06-2022,Individual Farmer,Maize,Summer,64.9,40.4,8.9,7360,70479.1,2326.18,17.9,UPI,0,Bulk
TXN2022-001765,03-06-2022,Individual Farmer,Maize,Summer,67.2,32.8,16.21,7418,101928.48,3408.16,13.14,Bank Transfer,0,Bale-50kg
TXN2022-002624,03-06-2022,Co-operative,Jowar,Summer,63.2,36.8,9.51,8706,72846.6,3381.56,21.47,Bank Transfer,0,Bulk
TXN2022-003662,03-06-2022,Distributor,Hybrid Mix,Summer,65,29.5,6.01,6606,42346.46,3523.78,11.48,Credit,21,Bulk
TXN2022-001076,03-06-2022,Dairy Farm,Hybrid Mix,Summer,65,32.8,4.04,6752,31370.6,3883.66,13.98,Credit,14,Bags
TXN2022-001032,05-06-2022,Individual Farmer,Maize,Summer,63,37,9.28,7432,67456.32,4636.18,17.03,Cash,0,Bale-50kg
TXN2022-000495,05-06-2022,Individual Farmer,Maize,Summer,65.7,34.3,7.81,7331,51061.78,3163.81,13.86,UPI,0,Bags
TXN2022-005219,06-06-2022,Individual Farmer,Maize,Summer,67.6,33.8,8.88,7423,65294.64,2821.28,13.8,Bank Transfer,0,Bale-50kg
TXN2022-004979,06-06-2022,Individual Farmer,Jowar,Summer,62.3,37.7,7.23,8839,67361.91,2199.47,11.4,Credit,14,Bale-50kg
TXN2022-004353,07-06-2022,Co-operative,Maize,Summer,69.3,30.7,14.61,6349,83014.02,4737.29,17.6,Bank Transfer,0,Bulk
TXN2022-003909,07-06-2022,Distributor,Maize,Summer,62.1,37.9,3.6,7416,26776.8,3091.01,10.95,UPI,0,Bale-50kg
TXN2022-004871,08-06-2022,Distributor,Maize,Summer,68,32,9.77,6677,71477.32,2254.85,14.82,Cash,0,Bulk
TXN2022-001125,08-06-2022,Distributor,Hybrid Mix,Summer,67.6,39.1,5.86,6758,37814.58,2430.95,15.53,UPI,0,Bale-50kg
TXN2022-003971,09-06-2022,Dairy Farm,Maize,Summer,65,37.6,10.44,7031,62994.96,2348.81,15.48,Credit,30,Bale-50kg
TXN2022-002778,09-06-2022,Dairy Farm,Jowar,Summer,66.3,33.7,6.35,8553,52952.65,2411.33,16.61,UPI,0,Bulk
TXN2022-004465,09-06-2022,Distributor,Maize,Summer,63.7,40.1,3.72,7378,31404.24,2044.45,7.31,Credit,30,Bags
TXN2022-004792,10-06-2022,Co-operative,Maize,Summer,63.7,30.4,7.25,7178,46204.25,2521.55,12.69,Credit,14,Bale-50kg
TXN2022-001812,11-06-2022,Individual Farmer,Maize,Summer,63.2,36.8,7.53,7373,45488.73,2160.11,11.84,UPI,0,Bags
TXN2022-000133,11-06-2022,Individual Farmer,Jowar,Summer,68.4,31.6,5.69,8161,51966.77,2222.68,20.54,Bank Transfer,0,Bale-50kg
TXN2022-004445,12-06-2022,Individual Farmer,Hybrid Mix,Summer,65,38,7.3,6953,51435.8,3034.39,10.78,Bank Transfer,0,Bale-50kg
TXN2022-004011,13-06-2022,Dairy Farm,Bajra,Summer,65,35,9.6,7754,62601.6,2141.52,9.6,UPI,0,Bulk
TXN2022-000610,16-06-2022,Dairy Farm,Maize,Summer,65.2,31.1,4.56,7131,28053.12,3149.83,18.34,Credit,30,Bulk
TXN2022-001980,17-06-2022,Dairy Farm,Bajra,Summer,67.8,32.2,29.1,7677,195668.4,4664.59,15.07,UPI,0,Bale-50kg
TXN2022-000321,18-06-2022,Individual Farmer,Jowar,Summer,58.2,41.8,7.41,7954,63251.76,2542.34,20.57,Credit,21,Bulk
TXN2022-004523,21-06-2022,Dairy Farm,Maize,Summer,63.7,35.4,10.8,7000,77284.8,2858.84,18.57,Bank Transfer,0,Bags
TXN2022-005192,21-06-2022,Dairy Farm,Bajra,Summer,67.2,32.8,10.07,7573,64810.52,4536.84,10.7,UPI,0,Bale-50kg
TXN2022-001342,26-06-2022,Dairy Farm,Jowar,Summer,64.5,35.5,6.79,8548,50714.51,2610.18,14.52,UPI,0,Bags
TXN2022-001479,30-06-2022,Co-operative,Maize,Summer,65,39.5,17.58,7237,121055.88,5143.89,17.56,Bank Transfer,0,Bags
TXN2022-003942,30-06-2022,Co-operative,Jowar,Summer,62.9,37.1,3.39,8717,26384.37,3010.87,15.4,Bank Transfer,0,Bale-50kg
TXN2022-002280,01-07-2022,Dairy Farm,Maize,Kharif,64.7,35.3,14.91,6947,91771.05,2325.04,16.41,Bank Transfer,0,Bulk
TXN2022-005119,03-07-2022,Individual Farmer,Maize,Kharif,64.6,35.4,24.16,7346,168854.24,5701.8,20,UPI,0,Bale-50kg
TXN2022-000525,03-07-2022,Co-operative,Maize,Kharif,68.9,31.1,16.92,6254,110741.4,3891.81,13.84,UPI,0,Bale-50kg
TXN2022-002208,04-07-2022,Distributor,Maize,Kharif,65.1,34.9,10.28,6874,66028.44,4498.83,16.71,UPI,0,Bale-50kg
TXN2022-005407,06-07-2022,Dairy Farm,Maize,Kharif,64.8,35.2,24.11,7204,138897.71,5139.36,14.34,Credit,30,Bulk
TXN2022-000077,08-07-2022,Co-operative,Maize,Kharif,69.1,30.9,9.37,6284,61682.71,2239.89,18.25,UPI,0,Bulk
TXN2022-002905,09-07-2022,Dairy Farm,Bajra,Kharif,60.9,39.1,6.3,6767,50664.6,2343.45,12.78,UPI,0,Bale-50kg
TXN2022-004930,10-07-2022,Individual Farmer,Maize,Kharif,67.6,36.1,7.44,7145,49334.64,2403.03,14.86,UPI,0,Bulk
TXN2022-002549,11-07-2022,Distributor,Jowar,Kharif,70,30,21.94,7818,162136.6,4631.71,10,UPI,0,Bags
TXN2022-004953,15-07-2022,Individual Farmer,Maize,Kharif,62.4,37.6,6.78,7134,51826.32,2096.1,18.88,Bank Transfer,0,Bulk
TXN2022-000854,15-07-2022,Individual Farmer,Maize,Kharif,58,42,3.17,6372,23264.63,1490.49,12.85,UPI,0,Bulk
TXN2022-002326,18-07-2022,Individual Farmer,Maize,Kharif,62.8,37.2,17.72,7129,101535.6,2217.07,14.53,Bank Transfer,0,Bulk
TXN2022-000963,18-07-2022,Dairy Farm,Maize,Kharif,58.4,41.6,16.66,6375,108190.04,2826.64,18.03,Bank Transfer,0,Bale-50kg
TXN2022-001694,18-07-2022,Individual Farmer,Maize,Kharif,63.7,36.3,5.82,7139,48527.16,1883.21,10.51,UPI,0,Bale-50kg
TXN2022-001401,18-07-2022,Co-operative,Jowar,Kharif,59.9,40.1,5.37,7582,44952.27,3270.31,14.24,Bank Transfer,0,Bulk
TXN2022-000305,18-07-2022,Dairy Farm,Maize,Kharif,62.9,37.1,5.2,6838,40076.4,2479.35,14.07,UPI,0,Bale-50kg
TXN2022-000447,19-07-2022,Distributor,Jowar,Kharif,64.8,35.2,24.26,8671,181658.88,4637.69,13.23,Credit,45,Bags
TXN2022-000875,21-07-2022,Distributor,Maize,Kharif,62.1,37.9,8.87,6964,51800.8,1888.43,9.66,UPI,0,Bulk
TXN2022-003919,22-07-2022,Distributor,Maize,Kharif,69.4,30.6,5.17,6304,40326,3453.6,9.52,Credit,30,Bale-50kg
TXN2022-002018,23-07-2022,Individual Farmer,Bajra,Kharif,67,33,11.02,7412,80291.72,2763.56,13.64,Cash,0,Bale-50kg
TXN2022-003111,25-07-2022,Individual Farmer,Maize,Kharif,67.8,32.2,19.55,7218,148716.85,2498.27,16.91,Bank Transfer,0,Bulk
TXN2022-001885,25-07-2022,Co-operative,Jowar,Kharif,72,35.1,9.73,7743,69248.41,4066.97,15.36,Bank Transfer,0,Bale-50kg
TXN2022-001174,25-07-2022,Individual Farmer,Maize,Kharif,67.6,32.4,7.36,7066,59505.6,2681.74,15.16,UPI,0,Bulk
TXN2022-000856,26-07-2022,Co-operative,Maize,Kharif,71.1,28.9,9.75,6324,71028.75,3297.41,18.12,UPI,0,Bags
TXN2022-001935,27-07-2022,Distributor,Bajra,Kharif,67.1,32.9,8.67,7539,64652.19,4104.77,14.51,UPI,0,Bags
TXN2022-003392,27-07-2022,Individual Farmer,Maize,Kharif,68.5,31.5,5.2,6388,34538.4,3630.97,12.97,Cash,0,Bulk
TXN2022-004558,31-07-2022,Dairy Farm,Hybrid Mix,Kharif,62,38,4.46,5709,24369.44,3557.94,16.36,UPI,0,Bulk
TXN2022-003822,01-08-2022,Individual Farmer,Jowar,Kharif,64.5,35.5,10,8295,77980,2074.51,12.6,Bank Transfer,0,Bale-50kg
TXN2022-002601,02-08-2022,Individual Farmer,Maize,Kharif,59.9,40.1,7.41,6467,50032.32,3770.5,12.79,Credit,7,Bags
TXN2022-001445,06-08-2022,Dairy Farm,Jowar,Kharif,60,40,30,7767,218100,4736.94,13.46,UPI,0,Bale-50kg
TXN2022-002451,06-08-2022,Dairy Farm,Jowar,Kharif,69.3,30.7,28.8,7704,185587.2,4993.6,16.41,Cash,0,Bale-50kg
TXN2022-004511,07-08-2022,Co-operative,Jowar,Kharif,65.1,34.9,6.21,8329,53132.76,3754.23,12,UPI,0,Bulk
TXN2022-004342,07-08-2022,Dairy Farm,Maize,Kharif,65.5,34.5,4.92,6936,41013.12,3127.4,14.59,Bank Transfer,0,Bulk
TXN2022-003604,10-08-2022,Individual Farmer,Maize,Kharif,66.2,33.8,11.92,7074,80126.24,2026.74,12.35,Bank Transfer,0,Bale-50kg
TXN2022-001123,10-08-2022,Dairy Farm,Maize,Kharif,66.2,33.8,8.74,7009,60507.02,3046.68,16.9,Bank Transfer,0,Bags
TXN2022-003778,10-08-2022,Dairy Farm,Maize,Kharif,64.7,35.3,8,6983,51472,2563.22,14.41,UPI,0,Bale-50kg
TXN2022-001278,11-08-2022,Dairy Farm,Maize,Kharif,64.1,35.9,8.91,7076,60908.76,2457.23,18.73,Bank Transfer,0,Bale-50kg
TXN2022-002620,12-08-2022,Individual Farmer,Maize,Kharif,61.1,38.9,11.98,6392,89310.9,2772.51,13.27,UPI,0,Bale-50kg
TXN2022-000807,12-08-2022,Co-operative,Maize,Kharif,68.2,31.8,5.1,6152,35200.2,1989.21,12.54,UPI,0,Bulk
TXN2022-005386,13-08-2022,Distributor,Hybrid Mix,Kharif,68,32,3.61,6004,22183.45,2529.22,16.51,Cash,0,Bale-25kg
TXN2022-004863,14-08-2022,Dairy Farm,Jowar,Kharif,65.7,34.3,11.79,8115,91443.24,3248.51,9.55,Credit,14,Bags
TXN2022-000507,16-08-2022,Individual Farmer,Maize,Kharif,64.5,35.5,13.17,6984,83023.68,3511.93,12.29,Bank Transfer,0,Bulk
TXN2022-003223,16-08-2022,Individual Farmer,Hybrid Mix,Kharif,65.5,34.5,8.71,6787,61118.07,2745.92,14.98,UPI,0,Bale-50kg
TXN2022-001254,16-08-2022,Dairy Farm,Maize,Kharif,63.8,36.2,4.71,6989,35687.67,2009.08,12.71,Bank Transfer,0,Bale-50kg
TXN2022-002941,17-08-2022,Dairy Farm,Maize,Kharif,67.5,32.5,15.91,6967,95014.52,5676.58,16.06,Bank Transfer,0,Bulk
TXN2022-005379,17-08-2022,Individual Farmer,Bajra,Kharif,60.7,32.4,12.06,6753,89256.06,2667.88,15.58,UPI,0,Bags
TXN2022-002770,18-08-2022,Individual Farmer,Maize,Kharif,67.6,33.6,2.51,6973,15316.02,1807.34,15.93,Credit,7,Bulk
TXN2022-004078,19-08-2022,Individual Farmer,Maize,Kharif,69.5,30.5,6.57,6450,43959.87,2117.32,14.69,Bank Transfer,0,Bale-50kg
TXN2022-004802,20-08-2022,Individual Farmer,Maize,Kharif,69.1,30.9,6.79,6380,53994.08,2267.13,12.54,Bank Transfer,0,Bale-50kg
TXN2022-005306,21-08-2022,Dairy Farm,Maize,Kharif,62.9,37.1,2.47,6969,17833.4,3154.58,22.18,Bank Transfer,0,Bale-50kg
TXN2022-003351,22-08-2022,Dairy Farm,Maize,Kharif,61.3,38.7,7.73,6176,45514.24,2369.35,15.54,UPI,0,Bags
TXN2022-000859,23-08-2022,Distributor,Jowar,Kharif,67.4,32.6,18.45,8562,156179.25,3842.14,12.57,Bank Transfer,0,Bale-25kg
TXN2022-004998,23-08-2022,Dairy Farm,Maize,Kharif,68.1,31.9,8,6323,62760,2614.11,17.01,Credit,7,Bale-50kg
TXN2022-002214,24-08-2022,Distributor,Maize,Kharif,66.5,33.5,12.1,6877,88547.8,3114.02,11.94,UPI,0,Bulk
TXN2022-001112,25-08-2022,Co-operative,Maize,Kharif,62.1,37.9,11.83,6828,88748.66,4661.08,13.91,Bank Transfer,0,Bale-50kg
TXN2022-003421,27-08-2022,Individual Farmer,Maize,Kharif,59.8,40.2,18.47,6422,129049.89,4488.31,12.87,UPI,0,Bags
TXN2022-000897,27-08-2022,Individual Farmer,Maize,Kharif,63.7,30.8,5.97,7109,44936.19,2185.7,16.68,Bank Transfer,0,Bale-50kg
TXN2022-001024,27-08-2022,Dairy Farm,Hybrid Mix,Kharif,63.1,36.9,5,6478,31750,3326.34,12.62,UPI,0,Bale-50kg
TXN2022-005225,28-08-2022,Co-operative,Bajra,Kharif,62.8,37.2,4.03,7554,33847.97,3229.2,16,Bank Transfer,0,Bale-50kg
TXN2022-002180,01-09-2022,Dairy Farm,Maize,Kharif,66.9,33.1,8.88,6910,70853.52,2399.45,15.06,Cash,0,Bulk
TXN2022-005091,01-09-2022,Dairy Farm,Hybrid Mix,Kharif,67.7,32.3,4.07,6562,27256.79,1881.55,11.38,Credit,14,Bags
TXN2022-001927,02-09-2022,Individual Farmer,Jowar,Kharif,64.4,35.6,15.22,8445,111501.72,4076.43,14.67,Bank Transfer,0,Bale-50kg
TXN2022-005396,02-09-2022,Dairy Farm,Maize,Kharif,66.6,33.4,6.37,6904,49220.99,3845.06,9.42,Credit,7,Bale-50kg
TXN2022-003573,03-09-2022,Distributor,Maize,Kharif,65.4,34.6,14.71,6910,100675.24,5256.17,16.88,Bank Transfer,0,Bulk
TXN2022-003483,03-09-2022,Co-operative,Maize,Kharif,65,34.9,6.99,6870,43778.37,2393.34,15.46,UPI,0,Bulk
TXN2022-005298,04-09-2022,Dairy Farm,Jowar,Kharif,66.5,33.5,13.1,8240,108913.4,1867.15,12,Bank Transfer,0,Bulk
TXN2022-000883,06-09-2022,Dairy Farm,Maize,Kharif,62.3,37.7,17.84,6961,119866.96,4254.72,10.45,UPI,0,Bags
TXN2022-004473,06-09-2022,Dairy Farm,Jowar,Kharif,64.7,35.3,7.16,8382,55132,4178.46,13.28,Bank Transfer,0,Bale-50kg
TXN2022-003737,07-09-2022,Co-operative,Jowar,Kharif,70.4,29.6,18.8,7752,128592,4288.6,10.86,UPI,0,Bags
TXN2022-001635,07-09-2022,Individual Farmer,Maize,Kharif,62,38,5.04,6274,35033.04,2585.8,12.18,Bank Transfer,0,Bulk
TXN2022-000587,08-09-2022,Distributor,Maize,Kharif,61.1,38.9,17.28,6452,105356.16,2698.49,10.67,Bank Transfer,0,Bale-50kg
TXN2022-003429,08-09-2022,Distributor,Maize,Kharif,62.3,37.7,7.55,6944,57825.45,3679.79,12.26,UPI,0,Bulk
TXN2022-003836,08-09-2022,Dairy Farm,Jowar,Kharif,66.4,33.6,4.66,8468,34712.34,3335.4,11.03,UPI,0,Bale-50kg
TXN2022-001709,10-09-2022,Distributor,Maize,Kharif,67.6,29.8,10.17,6802,57002.85,2469.33,10.19,UPI,0,Bags
TXN2022-000151,11-09-2022,Dairy Farm,Maize,Kharif,67.5,32.5,11.59,6867,75450.9,4733.01,17.87,UPI,0,Bags
TXN2022-001785,11-09-2022,Individual Farmer,Maize,Kharif,62.3,37.7,9.1,7129,70616,3434.19,14.27,Cash,0,Bulk
TXN2022-002479,12-09-2022,Dairy Farm,Hybrid Mix,Kharif,62.3,37.7,15.45,6519,90181.65,2802,18.44,Bank Transfer,0,Bulk
TXN2022-001534,12-09-2022,Dairy Farm,Maize,Kharif,67.6,34.4,9.51,7048,59979.57,3764.02,13.81,Cash,0,Bulk
TXN2022-004136,13-09-2022,Individual Farmer,Maize,Kharif,62.7,37.3,11.03,6913,67536.69,2202.37,15.38,UPI,0,Bale-50kg
TXN2022-004825,13-09-2022,Individual Farmer,Jowar,Kharif,62.6,37.4,7.65,8699,55516.05,1636.24,19.64,UPI,0,Bale-25kg
TXN2022-004742,14-09-2022,Co-operative,Maize,Kharif,60.1,39.9,20.86,6493,147334.18,4388.69,14.02,Bank Transfer,0,Bags
TXN2022-000886,14-09-2022,Individual Farmer,Maize,Kharif,61.1,38.9,9.8,6591,65483.6,1865.6,16.18,Bank Transfer,0,Bale-50kg
TXN2022-000855,18-09-2022,Distributor,Bajra,Kharif,60.8,39.2,6.28,6871,39438.4,3606.87,9.64,Bank Transfer,0,Bale-50kg
TXN2022-000801,19-09-2022,Distributor,Jowar,Kharif,66.1,33.9,9.19,8552,78234.47,4219.9,9.85,Credit,7,Bale-50kg
TXN2022-004470,19-09-2022,Co-operative,Maize,Kharif,67.6,33.9,8.53,7027,50258.76,2208.4,14.08,Cash,0,Bulk
TXN2022-003711,19-09-2022,Dairy Farm,Jowar,Kharif,58.9,41.7,5.43,7594,48343.29,2804.09,16,Bank Transfer,0,Bags
TXN2022-003372,20-09-2022,Dairy Farm,Maize,Kharif,64.9,35.3,24.02,7172,177579.86,5802.81,13.63,UPI,0,Bale-50kg
TXN2022-001925,20-09-2022,Dairy Farm,Maize,Kharif,62.6,37.4,12.17,6775,89279.12,2600.14,15.55,Cash,0,Bags
TXN2022-001205,20-09-2022,Distributor,Jowar,Kharif,60.7,39.1,11.43,7587,77586.84,3129,12.05,Bank Transfer,0,Bale-50kg
TXN2022-001503,20-09-2022,Dairy Farm,Maize,Kharif,66.7,33.3,4.11,7000,30487.98,2940.77,16.71,UPI,0,Bags
TXN2022-004709,22-09-2022,Individual Farmer,Jowar,Kharif,67.3,32.7,22.76,8730,163963.04,4227.94,16.26,Bank Transfer,0,Bags
