Company_ID,Industry_Type,Date,Energy_Demand_MWh,Fuel_Type,Emission_Produced_tCO2,Emission_Allowance_tCO2,Carbon_Price_USD_per_t,Credits_Traded_tCO2,Verification_Status,Compliance_Cost_USD,Optimization_Scenario,Carbon_Cost_Savings_USD,Transaction_Type
C052,Manufacturing,11-08-2025,726.98,nan,527.15,439.15,34.93,167,Disputed,6667.49,High_Demand,2905.19,Sell
C026,Cement,13-05-2025,2735.71,COAL,1311.16,1234.16,34.93,121,Verified,9792.18,Low_Demand,1134.66,Hold
C057,Energy,24-07-2024,2729.63,Mixed Fuel,2117.73,2103.73,34.93,142,Verified,11783.52,High_Demand,2109.59,Hold
C057,Energy,24-07-2024,2729.63,MIXED FUEL,2117.73,2103.73,34.93,142,Verified,11783.52,High_Demand,2109.59,Hold
C085,Steel,24-08-2024,1896.45,Natural Gas,1139.92,983.92,34.92,45,Disputed,13257.23,Low_Demand,2829.58,Hold
C008,Manufacturing,08-04-2025,1299.38,Coal,569.34,426.34,34.92,124,Disputed,14057.46,High_Demand,1772.35,Sell
C010,Steel,16-12-2025,1957.81,Coal,590.73,579.73,34.92,32,Verified,15523.22,High_Demand,2281.52,Hold
C070,Energy,04-09-2025,728.67,Coal,566.63,400.63,34.91,143,Disputed,9232.62,Price_Surge,1856.55,hold
C061,Manufacturing,12-10-2024,1893.08,Renewable,674.97,600.97,34.91,37,Verified,17872.3,Low_Demand,1681.4,Hold
C057,Steel,06-12-2025,unknown,Coal,806.43,919.43,30.32,112,Verified,14348.94,Low_Demand,2317.09,Buy
C069,Manufacturing,10-07-2025,2967.87,Mixed Fuel,2147.67,2225.67,34.91,151,Verified,19384.42,High_Demand,522.69,Sell
C068,Cement,06-04-2025,1860.88, Coal ,855.23,1033.23,34.91,126,Verified,5127.29,Low_Demand,2766.27,Hold
C036,Steel,26-05-2024,unknown,Mixed Fuel,406.19,294.19,34.89,165,Disputed,12561.75,High_Demand,1739.28,Sell
C086,MANUFACTURING,14-12-2025,2551.63,Renewable,1355,1510,34.89,165,Disputed,6225.15,Low_Demand,1932.02,Hold
C018,Manufacturing,13-04-2025,528.71,NAN,241.06,82.06,34.88,37,Disputed,10107.67,High_Demand,2158.77,SELL
C002,Manufacturing,15-05-2025,unknown, Coal ,662.66,819.66,30.15,175,Disputed,15240.1,High_Demand,841.17,hold
C035, Steel ,02-11-2025,2336.11, Coal ,907.65,759.65,34.86,34,Disputed,6665.12,Low_Demand,2456.96,Hold
C024,Energy,03-09-2024,unknown,Mixed Fuel,1810.3,1611.3,30.09,87,Disputed,12743.83,High_Demand,1513.81,hold
C085,Manufacturing,21-09-2025,580.63,Mixed Fuel,410.42,506.42,34.86,189,Verified,5282.12,Price_Surge,2284.54,SELL
C087,Energy,29-06-2024,unknown,Mixed Fuel,662.72,547.72,30.06,120,Disputed,18761.28,Low_Demand,879.75,hold
C058,Manufacturing,25-12-2025,2073.08,Mixed Fuel,974.52,919.52,34.85,78,Verified,9733.19,Low_Demand,2851.6,Hold
C036,Energy,23-04-2025,2320.3,Mixed Fuel,960.66,1052.66,34.85,31,Disputed,16870.03,High_Demand,2105.19,Sell
C056,Steel,13-06-2025,1519.35,Renewable,877.17,923.17,34.84,89,Disputed,19791.23,High_Demand,2076.77, SELL 
C045,Energy,02-08-2025,1950.89,nan,1054.07,1059.07,34.83,67,Disputed,9752.31,Price_Surge,2043.72,Hold
C046,Steel,29-04-2025,unknown,Coal,282.98,477.98,29.67,45,Disputed,8611.93,High_Demand,639.73,hold
C011,MANUFACTURING,23-11-2024,1430.26,Mixed Fuel,1071.13,1190.13,34.83,183,Disputed,9423.6,Low_Demand,1050.03,Hold
C012,Energy,"Nov 21, 2024",1002.78,Mixed Fuel,363.18,295.18,34.82,185,Disputed,12793.26,Low_Demand,2846.2,Hold
C012,Energy,"Nov 21, 2024",1002.78,Mixed Fuel,363.18,295.18,34.82,185,Disputed,12793.26,Low_Demand,2846.2,Hold
C040,Manufacturing,07-09-2025,1563.87,Mixed Fuel,865.15,821.15,34.82,148,DISPUTED,19393.7,High_Demand,1347.13,Sell
C004, Energy ,25-05-2025,2588.25, Renewable ,1841.09,1816.09,34.82,54,Disputed,14309.84,Low_Demand,709.45,Hold
C069,Steel,16-07-2024,2205.4,Coal,1396.25,1394.25,34.82,195,VERIFIED,9194.66,Price_Surge,1023.16,Hold
C010,Energy,24-11-2024,1131.92,Coal,721.04,781.04,34.82,119,Disputed,12757.33,High_Demand,2815.23,Sell
C059,Cement,21-08-2024,2605.25,Renewable,1637.76,1709.76,34.82,167,Disputed,7256.74,Low_Demand,1126.57,Hold
C055,Steel,01-09-2025,1472.25,Coal,1156.52,1243.52,34.82,130,Verified,18733.72,Price_Surge,1286.44,Sell
C018,Energy,15-02-2024,2645.4,RENEWABLE,844.04,967.04,34.82,120,Disputed,5934.34,High_Demand,1089.74,Sell
C034,nan,25-04-2025,1764.26,Renewable,673.95,664.95,34.81,164,Verified,19741.81,Low_Demand,913.67,Hold
C013,Steel,30-07-2025,1648.95, Natural Gas ,1129.87,1308.87,34.81,26,Disputed,10705.5,Price_Surge,1319.3,Sell
C050, Manufacturing ,22-11-2024,2188.68,Mixed Fuel,1707.4,1600.4,34.8,120, Verified ,10709.36,Low_Demand,1331.32,Hold
C010,Cement,05-12-2024,2966.62,Mixed Fuel,1601.59,1683.59,34.8,190,Disputed,11783.88,Low_Demand,515.72,Hold
C071,Cement,29-07-2024,1134.93, Coal ,524.98,670.98,34.8,90,Disputed,12249.55,Low_Demand,541.95,Hold
C072,Steel,26-03-2024,2542.98,nan,1671.51,1832.51,34.8,56,DISPUTED,5746.29,High_Demand,2319,SELL
C019,Cement,11-07-2025,1861.28,Mixed Fuel,1178.3,1064.3,34.79,153,Disputed,7805.36,Low_Demand,2369.3,Hold
C074,Energy,05-06-2024,unknown,Coal,521.81,348.81,29.5,103,Disputed,16704.71,High_Demand,586.52,hold
C041,MANUFACTURING,10-08-2024,2093.04,Mixed Fuel,1116.39,937.39,34.78,179,Verified,13719.4,Price_Surge,1609.1,hold
C057,Energy,09-03-2024,807.16,Mixed Fuel,429.7,412.7,34.78,83,Disputed,13268.41,High_Demand,996.52,Sell
C078,Cement,25-06-2024,2585.66,Renewable,1735.11,1894.11,34.77,146,Verified,19534.61,High_Demand,2008.39,Sell
C100,Cement,27-06-2024,1084.61,Mixed Fuel,708.62,537.62,34.76,58,Verified,19790.4,Low_Demand,925.53,Hold
C050,Cement,"Nov 22, 2025",2022.91,Mixed Fuel,1019.42,851.42,34.76,60,Verified,15150.86,High_Demand,525.03,Sell
C007,Steel,18-09-2024,1067.71,Natural Gas,493.81,385.81,34.76,175,Disputed,17734.01,Price_Surge,1903.36,hold
C084,Energy,07-05-2025,2816.83,Natural Gas,1932.41,2000.41,34.76,84,Disputed,19908.12,Low_Demand,595.5,Hold
C035,Steel,06-08-2025,1424.83,Renewable,521.5,614.5,34.76,98,Verified,19150.49,High_Demand,1025.86,Sell
C076,Steel,20-02-2025,1790.93,Coal,1296.6,1433.6,34.76,180,Verified,17085.02,Low_Demand,551.25,Hold
C067,CEMENT,19-03-2024,unknown,nan,1047.85,885.85,29.47,61,DISPUTED,16312.93,High_Demand,549.17,hold
C020,Energy,13-01-2024,826.83,Coal,489.23,407.23,34.75,83,Disputed,5396.17,Price_Surge,1033.64,hold
C049,Manufacturing,06-08-2024,2754.85,Natural Gas,1399.54,1238.54,34.74,87, Disputed ,15319.8,High_Demand,1430.78,Sell
C039,Energy,17-08-2024,858.35,Renewable,576.71,500.71,34.74,172,Verified,5396.44,High_Demand,2216.5,Sell
C010,Steel,12-04-2025,1320.58,Coal,1026.19,1159.19,34.74,167,Disputed,17248.77,Low_Demand,1599.87,Hold
C005,MANUFACTURING,13-07-2024,934.73,Natural Gas,290.7,308.7,34.73,110,Disputed,7297.01,High_Demand,1286.85,Sell
C089,Cement,21-01-2025,2674.63, Coal ,844.24,863.24,34.73,57,Disputed,7846.53,Price_Surge,1247.93,Hold
C041,Energy,12-04-2024,1293.16,Mixed Fuel,543.57,598.57,34.73,183, Verified ,16882.95,High_Demand,2124.51,Sell
C064,Steel,03-04-2024,825.02,Coal,548.27,640.27,34.73,148,Disputed,9836.55,High_Demand,2953.04,Sell
C042,Steel,23-11-2024,652.59,nan,288.94,103.94,34.72,52,Disputed,18785.66,Price_Surge,2840.68,hold
C004, Steel ,27-12-2025,1000.12,Renewable,688.71,599.71,34.72,81,VERIFIED,10812.15,Low_Demand,2397.7,Hold
C053, Steel ,09-08-2024,1986.6,Natural Gas,711.06,736.06,34.72,54,Verified,9869.56,Price_Surge,2620.11,SELL
C036,Steel,10-04-2024,646.07, Coal ,253.28,92.28,34.71,62, DISPUTED ,17380.83,Low_Demand,2451.53,Hold
C055,Steel,21-08-2024,unknown,Natural Gas,536.5,393.5,29.25,82,Verified,15579.41,High_Demand,1079.24,hold
C016,MANUFACTURING,20-01-2025,2383.08,Natural Gas,1381.96,1538.96,34.71,71,Verified,17303.66,High_Demand,1172.38,Sell
C094,Cement,01-09-2025,2988.21,Mixed Fuel,1214.94,1233.94,34.7,178, DISPUTED ,9861.34,Price_Surge,1454.29,Hold
C018,nan,14-06-2024,1527.74, Mixed Fuel ,699.92,812.92,34.7,141,Verified,18157,Low_Demand,2378.4,Hold
C053,Manufacturing,22-09-2025,2557.35,Mixed Fuel,1106.51,1298.51,34.7,21,Verified,16357.75,Low_Demand,1190.26,Hold
C040,Manufacturing,13-05-2024,unknown,Natural Gas,600.32,763.32,28.39,38,Disputed,11362.78,High_Demand,2319.93,hold
C032,Cement,03-12-2025,1513.17,Coal,1017.8,1095.8,34.69,40,Disputed,5156.85,Low_Demand,2451.68,Hold
C068,Cement,15-11-2024,unknown, MIXED FUEL ,1644.83,1756.83,28.31,94, Verified ,15613.06,High_Demand,2543.73,hold
C077,Steel,20-11-2024,2962.82,nan,1283.63,1469.63,34.68,79,Disputed,11793.53,High_Demand,2274.63,Sell
C048,Steel,19-09-2025,2586.87,Natural Gas,1736.73,1829.73,34.67,42,Disputed,16514.08,High_Demand,2528.54,Sell
C007,Steel,30-06-2024,1230.29,Natural Gas,979.31,1157.31,34.67,191,VERIFIED,7630.41,High_Demand,2078.05,Sell
C021,Cement,31-08-2024,1409.49,Renewable,554.77,354.77,34.66,90,Verified,9104.91,Low_Demand,1029.17,Sell
C037,Manufacturing,22-05-2024,1087.05,Coal,639.13,621.13,34.66,35,Disputed,14350.08,High_Demand,2678.91,Sell
C057,Manufacturing,"May 02, 2024",588.51,RENEWABLE,345.09,500.09,34.66,36,Verified,7735.47,Low_Demand,2137.5,Hold
C030,Energy,28-01-2024,unknown,Natural Gas,606.43,424.43,28.14,142,VERIFIED,19904.12,High_Demand,807.97,hold
C013,Manufacturing,06-01-2025,721.22,RENEWABLE,476.9,508.9,34.64,148,NAN,12648.73,High_Demand,2132.98,Sell
C019,Manufacturing,29-10-2024,606.09,Coal,294.78,360.78,34.64,71,Verified,18470.78,Price_Surge,730.15,Hold
C049,Manufacturing,26-02-2024,2549.1,Mixed Fuel,1907.94,2027.94,34.64,65,Verified,16019.15,Low_Demand,2987.41,Hold
C034,Manufacturing,09-12-2024,2700.62,Coal,2116.15,2255.15,34.64,130,NAN,14048.97,Price_Surge,516.03,Sell
C019,Energy,20-03-2024,1573.03,Mixed Fuel,1018.88,892.88,34.63,183,Verified,11821.22,Price_Surge,1660.17,hold
C005,Steel,13-03-2024,1759.98,Mixed Fuel,708.72,801.72,34.63,78, Verified ,13283.04,Price_Surge,2089.43,Sell
C052,Manufacturing,03-11-2024,unknown,Mixed Fuel,200.74,64.74,28.01,55,Verified,8010.38,High_Demand,2230.25,hold
C017,Steel,24-08-2025,1832.42,Natural Gas,680.54,728.54,34.62,180,Verified,16628.05,Price_Surge,638.78,Sell
C064,Manufacturing,27-03-2024,1682.29,Natural Gas,607.71,695.71,34.62,147,VERIFIED,7263.69,Low_Demand,914.54,Hold
C021,Cement,23-04-2024,2288.59,Mixed Fuel,1182.2,1279.2,34.62,195,DISPUTED,9551.46,High_Demand,2257.42,Sell
C044,Cement,19-07-2024,2423.53,Natural Gas,744.21,846.21,34.62,134,VERIFIED,14074.65,High_Demand,1005.3,Sell
C076,Steel,25-07-2024,1728.59,Coal,1345.14,1388.14,34.61,70,DISPUTED,9579,Price_Surge,1205.43,Hold
C088,Cement,21-05-2025,unknown,Natural Gas,803.27,653.27,27.22,133,Disputed,15404.53,Low_Demand,2858.7,hold
C074,Manufacturing,11-05-2024,566.42,Renewable,248.24,97.24,34.59,43,Verified,5030.46,Price_Surge,1905.55,hold
C016,Energy,19-08-2024,2163.98,Mixed Fuel,867.29,816.29,34.59,142,Disputed,10212.98,High_Demand,612.94,Sell
C097,Manufacturing,10-09-2024,unknown, Coal ,2018.69,1933.69,26.95,87,Disputed,14291.79,Low_Demand,1984.04,Sell
C059,Manufacturing,24-03-2025,574.72,Mixed Fuel,381.75,369.75,34.59,164,Disputed,17579.68,High_Demand,1976.87,Hold
C097,Energy,15-11-2024,2886.3,Natural Gas,869.36,1025.36,34.59,48,Verified,13083.18,Low_Demand,1261,Hold
C056,Manufacturing,18-03-2025,2282.04,Coal,1672.19,1820.19,34.58,143,Disputed,6482.83,High_Demand,948.14, Sell 
C065, Cement ,06-01-2025,unknown, Mixed Fuel ,681.24,822.24,26.41,66,Disputed,7600.36,Low_Demand,503.01,hold
C019,Energy,23-11-2025,2652.01,Mixed Fuel,1585.7,1695.7,34.57,73,Verified,19408.88,High_Demand,870.8,Sell
C056,Cement,03-09-2024,1700.56,Mixed Fuel,1123.9,931.9,34.56,118,Verified,18827.23,Low_Demand,759.97,Hold
C037,Steel,03-09-2025,1472.03, Coal ,848.18,708.18,34.56,192, Verified ,5394.78,Price_Surge,761.01,hold
C052,Cement,24-10-2025,1853.9,Renewable,1420.65,1452.65,34.56,88,Disputed,15686.46,Price_Surge,1355.67,Sell
C052,MANUFACTURING,18-05-2025,2880.54,Mixed Fuel,1957.21,1997.21,34.56,31,Verified,17814.89,Low_Demand,2944.86,Hold
C030,Steel,27-08-2024,1497.2, Natural Gas ,1171.4,987.4,34.55,99,Verified,16821.46,High_Demand,1794.81,Sell
C045,Energy,05-08-2025,2878.05,Renewable,1106,1103,34.55,124,Verified,12426.37,Low_Demand,2638.54,Hold
C075,MANUFACTURING,19-06-2025,1054.56,Coal,783.24,869.24,34.55,129,Disputed,9928.55,High_Demand,1676.45,Sell
C070,Steel,15-05-2024,2111.69,Mixed Fuel,1664.98,1789.98,34.55,76, Disputed ,11009.68,Price_Surge,504.22,Sell
C034,Cement,14-01-2024,1383.81,Coal,636.11,772.11,34.55,119,nan,6314.68,High_Demand,692.36, Sell 
C061, nan ,31-12-2025,1321.28,Renewable,609.3,799.3,34.55,91,Disputed,7686.45,Price_Surge,1393.14,Sell
C058,Steel,01-07-2025,886.96,Natural Gas,410.56,225.56,34.54,66,Verified,9233.88,Price_Surge,773.2,hold
C006,STEEL,12-03-2024,2036.71,Coal,1505.55,1361.55,34.54,138,Disputed,9773.25,High_Demand,1159.64,Sell
C040,Manufacturing,08-10-2025,866.81, Natural Gas ,679.99,593.99,34.54,44,Verified,8153.06,Price_Surge,1434.21,hold
C078,Cement,24-03-2024,678.72,Natural Gas,308.63,310.63,34.54,163,NAN,13247.51,Low_Demand,2112.06,Hold
C063, Cement ,05-02-2024,1713.95,MIXED FUEL,984.98,792.98,34.53,83,Disputed,12672.05,High_Demand,1281.19,Sell
C066,Steel,03-10-2025,2199.87,Mixed Fuel,1491.48,1361.48,34.53,21,Disputed,5807.22,Price_Surge,1026.15,hold
C009,Manufacturing,06-04-2024,1624.88,Mixed Fuel,833.65,782.65,34.53,165,Disputed,10594.23,Low_Demand,964.09,Hold
C003,Energy,16-03-2025,2046.76,Mixed Fuel,1069.92,1143.92,34.53,51,nan,8611.93,Low_Demand,2275.22,Hold
C012,CEMENT,20-03-2024,564.59,COAL,408.51,227.51,34.52,125,Verified,7167.71,Low_Demand,2088.86,Hold
C069,Energy,06-04-2025,1230.47, Natural Gas ,704.21,588.21,34.52,162,Disputed,9278.62,High_Demand,1238.37,Sell
C021,Steel,24-03-2025,1782.91,Mixed Fuel,1372.02,1557.02,34.5,157,nan,9284.53,Price_Surge,2939.72,Sell
C027,Manufacturing,31-01-2024,1132.51,Coal,348.24,407.24,34.49,126,Disputed,13898.2,Price_Surge,1173.13,Hold
C026,Cement,04-04-2025,808.24,Mixed Fuel,288.37,195.37,34.48,96,Verified,9570.02,High_Demand,1684.17,Sell
C056,Steel,14-09-2025,948.77,Coal,365.85,342.85,34.48,28,Disputed,5151.09,Low_Demand,2866.61,Hold
C052,Manufacturing,01-01-2024,1028.56,Mixed Fuel,787.82,775.82,34.48,77, Disputed ,5706.56,Price_Surge,910.36,Hold
C036, Steel ,22-02-2024,2918.84,Mixed Fuel,2257.13,2285.13,34.48,170,Verified,8938.16,High_Demand,2564.12,Sell
C084,nan,08-02-2025,723.56,Coal,392.11,542.11,34.48,64,Disputed,10263.38,Price_Surge,698.73,Sell
C050,Steel,26-10-2025,2542.95, Coal ,1586.72,1720.72,34.47,115,Disputed,12880.02,Price_Surge,1765.76,Sell
C088, Cement ,31-07-2025,1975.96,Mixed Fuel,831.47,711.47,34.46,143,Verified,8332.36,High_Demand,516.1,Sell
C011,Cement,15-03-2025,539.59,Coal,164.74,196.74,34.46,169,Verified,16115.99,Price_Surge,916.13,Hold
C051,Cement,07-02-2024,2993.76, Renewable ,1109.72,1242.72,34.46,62,Disputed,8741.5,Price_Surge,2364.83,Sell
C065,Steel,16-03-2025,2378.36,Mixed Fuel,1229.17,1142.17,34.45,71,Disputed,15008.29,High_Demand,1726.24,Sell
C095,Cement,17-08-2024,2097.81,NATURAL GAS,787.49,822.49,34.45,62,Disputed,7447.91,Low_Demand,2821.1,Hold
C095,Cement,17-08-2024,2097.81,Natural Gas,787.49,822.49,34.45,62,Disputed,7447.91,Low_Demand,2821.1,Hold
C012,Cement,22-11-2024,unknown,Mixed Fuel,766.06,915.06,25.63,51,DISPUTED,13097.02,Low_Demand,1764.22,hold
C037,Manufacturing,17-12-2025,516.5,Natural Gas,361.68,190.68,34.44,141,Disputed,13144.38,High_Demand,584.52,Sell
C008,Cement,02-11-2025,2859.62,Renewable,1775.21,1689.21,34.44,31,Verified,11934.22,Price_Surge,1275.02,hold
C078,Steel,22-11-2024,822.58,Mixed Fuel,531.97,530.97,34.44,139,Disputed,16484.59,High_Demand,1930.76,Hold
C066, Energy ,02-02-2025,unknown,Coal,826.36,761.36,25.54,142, Disputed ,17470.39,Price_Surge,2932.17,hold
C027,Cement,02-04-2025,1522.82,Mixed Fuel,1155.93,1071.93,34.43,155,Disputed,6656.65,Low_Demand,2864.38,Hold
C057,Manufacturing,"Mar 01, 2024",2959.07,Natural Gas,1443.21,1431.21,34.43,57,DISPUTED,13923.64,Low_Demand,2560.4,Hold
C054,Manufacturing,01-12-2025,828.85,Natural Gas,428.25,434.25,34.43,111,Verified,10560.96,Low_Demand,540.58,Hold
C008,STEEL,17-12-2025,2272.97,Mixed Fuel,852.21,1039.21,34.43,121,Verified,15209.35,High_Demand,2474.48, Sell 
C097,Steel,27-12-2025,891.68,Coal,358.82,555.82,34.43,165,nan,9674,Price_Surge,590.23,Sell
C096,Energy,30-06-2024,unknown,Renewable,989.67,1026.67,25.2,98,DISPUTED,10676.12,Low_Demand,1105.73,hold
C037, Steel ,25-07-2025,1030.97,Natural Gas,656.39,661.39,34.42,52,Disputed,8509.2,Price_Surge,1362.83,Hold
C049,Steel,28-01-2024,2347.14,Mixed Fuel,909.39,971.39,34.42,192,Verified,5397.4,Price_Surge,1849.01,Hold
C046,Energy,20-12-2025,1650.47,Renewable,510.98,361.98,34.41,122,Disputed,19139.46,High_Demand,1420.1,Sell
C029,Cement,05-10-2025,2494.52,Coal,1588.01,1458.01,34.41,42,Verified,10478.84,Low_Demand,1782.37,Hold
C012,Energy,03-05-2025,2001.99,Renewable,1253.95,1240.95,34.41,126,Verified,7730.04,Low_Demand,2209.4,Hold
C045, Steel ,22-06-2025,808.85,Renewable,412.64,331.64,34.4,40,VERIFIED,6965.16,High_Demand,727.42,Sell
C053,Steel,13-11-2024,706.49,Mixed Fuel,425.8,371.8,34.4,185,Disputed,9142.59,Low_Demand,2577.45,Hold
C030,Energy,29-10-2024,2602.06,Natural Gas,1730.18,1566.18,34.39,180,Disputed,17630.11,High_Demand,1503.03,Sell
C019,Energy,22-08-2024,621.25,Coal,348.91,476.91,34.38,57,Disputed,6873.84,High_Demand,1647.14,Sell
C023,Energy,23-07-2025,unknown, Mixed Fuel ,1508.84,1600.84,25.15,53,Disputed,19472.78,Price_Surge,1109.29,hold
C073,Steel,23-11-2025,1887.34, Mixed Fuel ,971.82,1157.82,34.38,178,Verified,6735.62,High_Demand,2562.56,Sell
C035,Steel,27-05-2025,1656.84,Mixed Fuel,1250.81,1250.81,34.37,103, Disputed ,14137.87,Price_Surge,1484.6,Hold
C096,Energy,26-07-2024,2946.09,Natural Gas,1641.58,1739.58,34.37,73,Disputed,16498.86,Low_Demand,2749.76,Hold
C065,MANUFACTURING,26-01-2025,2204.88,Mixed Fuel,1063.95,1242.95,34.37,23,nan,17729.5,Price_Surge,1592.57,Sell
C089,Steel,29-12-2025,919.68,nan,440.45,253.45,34.36,56,Disputed,6060.1,Low_Demand,1152.05,Hold
C045,Manufacturing,21-02-2025,1631.05,Coal,636.49,453.49,34.36,147,Verified,11315.13,High_Demand,942.33,Sell
C045,Manufacturing,21-02-2025,1631.05,COAL,636.49,453.49,34.36,147,Verified,11315.13,High_Demand,942.33,Sell
C088,Energy,05-07-2024,2877.77,Natural Gas,1811.12,1775.12,34.36,75,Verified,16593.39,Low_Demand,1629.25,Hold
C037,Energy,02-03-2025,2968.35, Natural Gas ,1866.88,2023.88,34.36,166,nan,9358.87,High_Demand,2011.22,Sell
C075,Energy,13-05-2024,721.29,Renewable,492.41,308.41,34.35,66,Verified,5973.55,High_Demand,1650.33,Sell
C035,Manufacturing,20-07-2024,1606.14,Mixed Fuel,893.14,711.14,34.35,148,Verified,11500.79,Low_Demand,929.82,Hold
C004,MANUFACTURING,16-02-2025,1494.74,Natural Gas,871.85,708.85,34.35,177,Disputed,7819.25,Price_Surge,991.57,hold
C071,ENERGY,25-10-2025,2640.06,Natural Gas,2050.86,1898.86,34.35,155,Verified,5394.26,Low_Demand,2278.19,Hold
C016,Steel,19-03-2025,2676.4,Coal,1419.13,1503.13,34.34,97,Verified,18962.38,High_Demand,1075.53,Sell
C025,Energy,09-01-2025,2516.06,Natural Gas,1121.48,967.48,34.33,36,Verified,13086.43,High_Demand,2080.86,Sell
C029,Cement,03-06-2025,2100.36,Natural Gas,918.33,819.33,34.33,75, VERIFIED ,14992.26,High_Demand,2508.2,Sell
C012,Energy,26-05-2024,unknown,Mixed Fuel,329.4,388.4,25.04,58,Verified,15187.42,Low_Demand,1402.38,Buy
C055,Cement,17-07-2024,1963.31,Natural Gas,1068.44,1143.44,34.32,34,Disputed,18085.52,High_Demand,1053.66,Sell
C065,MANUFACTURING,27-11-2024,unknown,Natural Gas,1250.88,1057.88,24.94,70,Disputed,7536.32,High_Demand,1692.42,Buy
C093,Cement,18-02-2025,1775.94, COAL ,1057.05,883.05,34.31,92,Disputed,18620.69,Low_Demand,1132.06,Hold
C093,Energy,27-09-2025,unknown,Mixed Fuel,1142.56,1044.56,23.61,45,Verified,12671.77,High_Demand,2319.99,Buy
C026,nan,05-06-2024,unknown,Natural Gas,1566.74,1508.74,34.31,150,Verified,14791.14,Low_Demand,1175,Hold
C086,nan,"May 27, 2025",2731.29,Coal,2084.35,2156.35,34.31,114,nan,9420.91,Price_Surge,1469.4,Hold
C086,nan,"May 27, 2025",2731.29,Coal,2084.35,2156.35,34.31,114,nan,9420.91,Price_Surge,1469.4,Hold
C003, Steel ,03-10-2025,2741.8, NATURAL GAS ,1023.36,912.36,34.29,20,Verified,19450.63,High_Demand,2283.99,Sell
